year_month,SPI,model
2028-10,0.6351603988951839,FGOALS_f3_H
2028-11,0.2022214693301578,FGOALS_f3_H
2028-12,0.2022214693301578,FGOALS_f3_H
2029-01,0.2022214693301578,FGOALS_f3_H
2029-02,0.2022214693301578,FGOALS_f3_H
2029-03,0.2022214693301578,FGOALS_f3_H
2029-04,0.2022214693301578,FGOALS_f3_H
2029-05,0.2022214693301578,FGOALS_f3_H
2029-06,0.7540310449820737,FGOALS_f3_H
2029-07,1.7072608711323844,FGOALS_f3_H
2029-08,1.7285116051098575,FGOALS_f3_H
2029-09,0.4252593750762181,FGOALS_f3_H
2029-10,0.2022214693301578,FGOALS_f3_H
2029-11,0.2022214693301578,FGOALS_f3_H
2029-12,0.2022214693301578,FGOALS_f3_H
2030-01,0.2022214693301578,FGOALS_f3_H
2030-02,0.2022214693301578,FGOALS_f3_H
2030-03,0.2022214693301578,FGOALS_f3_H
2030-04,0.2022214693301578,FGOALS_f3_H
2030-05,0.2022214693301578,FGOALS_f3_H
2030-06,0.2022214693301578,FGOALS_f3_H
2030-07,0.9234705207511482,FGOALS_f3_H
2030-08,0.8464703105608345,FGOALS_f3_H
2030-09,0.37252966662121684,FGOALS_f3_H
2030-10,0.39577481339669385,FGOALS_f3_H
2030-11,0.2022214693301578,FGOALS_f3_H
2030-12,0.2022214693301578,FGOALS_f3_H
2031-01,0.2022214693301578,FGOALS_f3_H
2031-02,0.2022214693301578,FGOALS_f3_H
2031-03,0.2022214693301578,FGOALS_f3_H
2031-04,0.2022214693301578,FGOALS_f3_H
2031-05,0.2022214693301578,FGOALS_f3_H
2031-06,0.8535727148431679,FGOALS_f3_H
2031-07,1.2715305923973677,FGOALS_f3_H
2031-08,1.020784391247205,FGOALS_f3_H
2031-09,1.7123151325906913,FGOALS_f3_H
2031-10,1.164209611364024,FGOALS_f3_H
2031-11,0.2022214693301578,FGOALS_f3_H
2031-12,0.2022214693301578,FGOALS_f3_H
2032-01,0.2022214693301578,FGOALS_f3_H
2032-02,0.45390896504703737,FGOALS_f3_H
2032-03,0.2022214693301578,FGOALS_f3_H
2032-04,0.2022214693301578,FGOALS_f3_H
2032-05,0.2022214693301578,FGOALS_f3_H
2032-06,0.6846643120561064,FGOALS_f3_H
2032-07,0.9213565325110743,FGOALS_f3_H
2032-08,1.0664199174278568,FGOALS_f3_H
2032-09,0.6280087991365736,FGOALS_f3_H
2032-10,1.610139847538057,FGOALS_f3_H
2032-11,0.2022214693301578,FGOALS_f3_H
2032-12,0.2022214693301578,FGOALS_f3_H
2033-01,0.2022214693301578,FGOALS_f3_H
2033-02,0.2022214693301578,FGOALS_f3_H
2033-03,0.2022214693301578,FGOALS_f3_H
2033-04,0.2022214693301578,FGOALS_f3_H
2033-05,0.2022214693301578,FGOALS_f3_H
2033-06,0.32692699736462133,FGOALS_f3_H
2033-07,0.6052717352518848,FGOALS_f3_H
